mode;width;height;bpp
256;640;400;8
257;640;480;8
258;800;600;4
259;800;600;8
260;1024;768;4
261;1024;768;8
262;1280;1024;4
263;1280;1024;8
269;320;200;15
270;320;200;16
271;320;200;24
272;640;480;15
273;640;480;16
274;640;480;24
275;800;600;15
276;800;600;16
277;800;600;24
278;1024;768;15
279;1024;768;16
280;1024;768;24
281;1280;1024;15
282;1280;1024;16
283;1280;1024;24
284;1600;1200;8
285;1600;1200;15
286;1600;1200;16
287;1600;1200;24
320;320;200;32
321;640;400;32
322;640;488;32
323;800;598;32
324;1024;768;32
325;1280;1024;32
326;320;200;8
327;1600;1200;32
328;1152;864;8
329;1152;864;15
330;1152;864;16
331;1152;864;24
332;1152;864;32
373;1280;768;16
374;1280;768;24
375;1280;768;32
376;1280;800;16
377;1280;800;24
378;1280;800;32
379;1280;960;16
380;1280;960;24
381;1280;960;32
382;1440;900;16
383;1440;900;24
384;1440;900;32
385;1400;1050;16
386;1400;1050;24
387;1400;1050;32
388;1680;1050;16
389;1680;1050;24
390;1680;1050;32
391;1920;1200;16
392;1920;1200;24
393;1920;1200;32
394;2560;1600;16
395;2560;1600;24
396;2560;1600;32
398;1280;720;24
399;1280;720;32
400;1920;1080;16
401;1920;1080;24
402;1920;1080;32
403;1600;900;16
404;1600;900;24
405;1600;900;32
406;2560;1440;16
407;2560;1440;24
408;2560;1440;32
409;3840;2160;16
0;40;25;4
1;40;25;4
2;80;25;4
3;80;25;4
4;320;200;2
5;320;200;2
6;640;200;1
7;80;25;4
13;320;200;4
14;640;200;4
15;640;350;1
16;640;350;4
17;640;480;1
18;640;480;4
19;320;200;8
106;800;600;4
